"Aktual News","@Aktualdotcom","Tolak Gunakan Dana Haji, Eks Relawan: #Jokowi Kinerja Buruk dan #Utang Menggunung\xe2\x80\xa6 https://goo.gl/fb/fxXLxt  #aktual","2017-07-31-2017-08-01"
"Andi Nino Wirawan","@andininowirawan","tak perlu banyak bicara, orang dinilai dari omongannya @jokowi\n#Jokowi pic.twitter.com/SwOKVtxEMf","2017-07-31-2017-08-01"
"Fajar || nexmedia","@Fajar_Bumaye","daftar #nexmedia hub: 08568931707 klik jg http://salesnexmedia.blogspot.com/  pesan langsung antar #jokowi #indonesia #jakarta","2017-07-31-2017-08-01"
"Trigger Simamora","@sampekan","THE THREE AXIS: JOKOWI-SBY-PRABOWO #SBYPrabowoSatu #Jokowi http://www.kanigoro.com/the-three-axis-jokowi-sby-prabowo/ \xe2\x80\xa6","2017-07-31-2017-08-01"
"Feronika  \xe2\x99\xa5","@ferronikachiip","Miris ya pak???  Saya juga miris \n#jokowi #mypresiden #myleader\xe2\x80\xa6 https://www.instagram.com/p/BXNcbjKhQpJMy7JsR7KgNy2u-l-UOpoSeIs7OM0/ \xe2\x80\xa6","2017-07-31-2017-08-01"
"Senayanpost","@senayanpost","Ruhut \xe2\x80\x98Berkicau\xe2\x80\x99 Sindir #SBY dan #Prabowo - #Jokowi #RuhutSitompul #Senayanpost - https://www.senayanpost.com/ruhut-berkicau-sindir-sby-dan-prabowo/ \xe2\x80\xa6pic.twitter.com/PsaR4o6OFk","2017-07-31-2017-08-01"
"Senayanpost","@senayanpost","Simak, Ini Daya Tarik #Jokowi Maju Pilpres 2019 - #DayaTarikJokowi #Pilpres2019 #Senayanpost - https://www.senayanpost.com/simak-ini-daya-tarik-jokowi-maju-pilpres-2019/ \xe2\x80\xa6pic.twitter.com/X402jfHAfz","2017-07-31-2017-08-01"
"Renaldy Akbar","@rereyakbar",""Niat baik saudara untuk siapa?" (Elegi ditengah wacana pemerintah yang katanya membangun hal-hal fisik untuk kemaslahatan) #Jokowi pic.twitter.com/9OM1f2Vy3R","2017-07-31-2017-08-01"
"Senayanpost","@senayanpost","Pilpres 2019, Ini Tiga Isu yang Akan Dipakai untuk Serang #Jokowi - #IsuSerangJokowi #Pilpres2019 #Senayanpost - https://www.senayanpost.com/pilpres-2019-ini-tiga-isu-yang-akan-dipakai-untuk-serang-jokowi/ \xe2\x80\xa6pic.twitter.com/rOoAlVxo2t","2017-07-31-2017-08-01"
